Location,Sequence name
Africa,EPI_ISL_17414599|A/avian/Nigeria/748_22VIR3286-34/2021|2021-12-29
Africa,EPI_ISL_17414600|A/avian/Nigeria/VRD-21-019_21RS744-61/2021|2021-01-22
Africa,EPI_ISL_17414601|A/avian/Nigeria/VRD-21-020_21RS744-62/2021|2021-01-22
Africa,EPI_ISL_17414602|A/avian/Nigeria/VRD-21-031_21RS744-65/2021|2021-02-02
Africa,EPI_ISL_17414603|A/avian/Nigeria/VRD-21-053_21RS744-70/2021|2021-02-11
Africa,EPI_ISL_17414605|A/avian/Nigeria/VRD-21-081_21RS744-75/2021|2021-02-19
Africa,EPI_ISL_17414606|A/avian/Nigeria/VRD-21-087_21RS744-76/2021|2021-02-25
Africa,EPI_ISL_17414607|A/avian/Nigeria/VRD-21-095_21RS744-78/2021|2021-02-26
Africa,EPI_ISL_17414608|A/avian/Nigeria/VRD-21-140_21VIR7423-19/2021|2021-03-12
Africa,EPI_ISL_17414609|A/avian/Nigeria/VRD-21-174_21VIR7423-22/2021|2021-03-21
Africa,EPI_ISL_17414610|A/avian/Nigeria/VRD-21-181_21VIR7423-2/2021|2021-03-23
Africa,EPI_ISL_17414611|A/chicken/Nigeria/001_22VIR3286-36/2022|2022-01-04
Africa,EPI_ISL_17414612|A/chicken/Nigeria/009_22VIR3286-39/2022|2022-01-05
Africa,EPI_ISL_17414613|A/chicken/Nigeria/011_22VIR3286-40/2022|2022-01-07
Africa,EPI_ISL_17414614|A/chicken/Nigeria/014_22VIR3286-41/2022|2022-01-07
Africa,EPI_ISL_17414615|A/chicken/Nigeria/018_22VIR3286-42/2022|2022-01-07
Africa,EPI_ISL_17414616|A/chicken/Nigeria/020_22VIR3286-43/2022|2022-01-07
Africa,EPI_ISL_17414617|A/chicken/Nigeria/024_22VIR3286-45/2022|2022-01-07
Africa,EPI_ISL_17414618|A/chicken/Nigeria/026_22VIR3286-46/2022|2022-01-10
Africa,EPI_ISL_17414619|A/chicken/Nigeria/030_22VIR3286-47/2022|2022-01-12
Africa,EPI_ISL_17414620|A/chicken/Nigeria/034_22VIR3286-48/2022|2022-01-12
Africa,EPI_ISL_17414621|A/chicken/Nigeria/037_22VIR3286-49/2022|2022-01-13
Africa,EPI_ISL_17414622|A/chicken/Nigeria/040_22VIR3286-50/2022|2022-01-13
Africa,EPI_ISL_17414623|A/chicken/Nigeria/042_22VIR3286-51/2022|2022-01-15
Africa,EPI_ISL_17414624|A/chicken/Nigeria/048_22VIR3286-52/2022|2022-01-17
Africa,EPI_ISL_17414625|A/chicken/Nigeria/049_22VIR3286-53/2022|2022-01-17
Africa,EPI_ISL_17414626|A/chicken/Nigeria/064_22VIR3286-55/2022|2022-01-21
Africa,EPI_ISL_17414627|A/chicken/Nigeria/068_22VIR3286-56/2022|2022-01-21
Africa,EPI_ISL_17414628|A/chicken/Nigeria/078_22VIR3286-57/2022|2022-01-22
Africa,EPI_ISL_17414629|A/chicken/Nigeria/082_22VIR3286-58/2022|2022-01-24
Africa,EPI_ISL_17414630|A/chicken/Nigeria/086_22VIR3286-59/2022|2022-01-26
Africa,EPI_ISL_17414631|A/chicken/Nigeria/095_22VIR3286-60/2022|2022-01-26
Africa,EPI_ISL_17414632|A/chicken/Nigeria/128_22VIR3286-63/2022|2022-01-28
Africa,EPI_ISL_17414633|A/chicken/Nigeria/131_22VIR3286-64/2022|2022-01-30
Africa,EPI_ISL_17414634|A/chicken/Nigeria/141B_22VIR3286-65/2022|2022-02-01
Africa,EPI_ISL_17414635|A/chicken/Nigeria/146_22VIR3286-66/2022|2022-02-01
