Netweight (kg)	Trade Value (US$)
0	4395441
2577410	27593214
1062	33792
9500	328332
24250	1108874
2110400	12794620
6000	48269
1417	150828
76022	847768
269	3053
144237	511083
190781	10648165
13472	1118430
9061	390848
4562	285491
1062	48216
3437	57141
0	12327031
0	2465
0	828212
0	35824
0	1267794
0	598107
0	48411
0	495619
0	125143
0	239384
0	6008580
0	2677492
34710	645200
898	2300
23000	443100
10812	199800
52952	3263181
1472	78165
1562	100426
7124	876809
136	4059
898	38081
93	7521
26214	1459508
3062	68942
125	2579
5937	276141
3203	135905
3062	214202
64	843
3395136	27397642
34120	67597
7659	164625
839	23470
20355	926212
2699267	14722175
57546	170281
703	142635
8749	299176
395295	885263
157499	9083991
13104	912217
14229	383354
773	48777
1562	61084
11894	273493
0	10458147
0	562935
0	1544609
0	448510
0	118985
0	103419
0	201195
0	4825
0	5177270
0	2296399
75494	3210132
51	1648
152	3889
722	35854
5875	324100
4831	479458
222	2929
13562	17303
117	3613
24	1043
26972	1510912
3500	43066
332	3705
6812	332044
1812	42694
261	8385
8624	325530
1625	73959
12827054	34438274
224521	311910
64672	139423
25460	994104
9888181	19819457
600797	541794
655	75708
42554	1023040
160904	311384
1627115	1122729
4700	8607
179316	9467151
8179	622965
13058	389699
13058	389699
	8140690
	502238
	1365621
11812	531111
1458	65575
2865	128803
	4027865
	1519476
110395	2672695
114	2942
1073	61293
11629	548524
3765	196095
351	2872
45492	81284
7	300
20	529
14700	639194
262	4106
1759	93331
1901	17478
1115	11437
130	1071
585	3837
22914	865681
4578	142722
7960	687926
1500	106511
148	12328
2000	89504
4312	479583
80223000	41699
80223000	41699
24085	516739
6937	281888
17148	234851
298367000	210600
4500000	7000
164000000	106600
129867000	97000
39966	2412931
235	20339
2375	144751
18	775
2413	158745
2796	429399
72	4089
11	550
20441	1113351
585	6812
148	2016
1237	29370
5750	276699
2125	109252
1750	116445
10	338
341000	795000
25000	12600
85000	537800
231000	244600
0	304965
0	108366
0	41224
0	5848
0	40830
0	73202
0	5899
0	29004
0	592
0	229036
0	78344
0	20345
0	19017
0	14418
0	19012
0	63230
0	14670
0	157202
0	14747
0	8967
0	38890
0	81202
0	12902
0	494
	160258
98	4413
360	16203
160	7187
	25098
260	11671
402	665
1720	2849
	92101
	69
0	504
0	504
0	742
0	742
145249	1232483
550	919
19187	227051
500	1304
45775	372687
54866	402816
135	1477
4646	11253
36	134
1481	11337
18073	203506
34857	2286648
269	12266
3086	167900
2819	162969
16312	1123124
30	646
5874	513720
2937	52563
1875	101203
1593	152002
62	255
72518	928840
3687	190682
49082	119766
1375	20105
2500	259327
12937	170379
2937	168581
29773	1818223
398	37210
3250	216690
375	24214
18440	1234796
1187	82192
30	1060
3437	46154
1707	81452
949	94455
98522	1084566
69690	164551
1750	47794
3750	366411
957	6941
16625	184729
